,stock,date,price,profit,year,new_year
0,AAPL,2013-02-08,67.8542,74.63962000000001,2013,2013
1,AAPL,2013-02-11,68.5614,75.41754,2013,2013
2,AAPL,2013-02-12,66.8428,73.52708,2013,2013
3,AAPL,2013-02-13,66.7156,73.38716,2013,2013
4,AAPL,2013-02-14,66.6556,73.32116,2013,2013
5,AAPL,2013-02-15,65.7371,72.31081,2013,2013
6,AAPL,2013-02-19,65.7128,72.28408,2013,2013
7,AAPL,2013-02-20,64.1214,70.53353999999999,2013,2013
8,AAPL,2013-02-21,63.7228,70.09508,2013,2013
9,AAPL,2013-02-22,64.4014,70.84154,2013,2013
10,AAPL,2013-02-25,63.2571,69.58281,2013,2013
11,AAPL,2013-02-26,64.1385,70.55234999999999,2013,2013
12,AAPL,2013-02-27,63.5099,69.86089,2013,2013
13,AAPL,2013-02-28,63.0571,69.36281,2013,2013
14,AAPL,2013-03-01,61.4957,67.64527,2013,2013
15,AAPL,2013-03-04,60.0071,66.00781,2013,2013
16,AAPL,2013-03-05,61.5919,67.75109,2013,2013
17,AAPL,2013-03-06,60.8088,66.88968,2013,2013
18,AAPL,2013-03-07,61.5117,67.66287,2013,2013
19,AAPL,2013-03-08,61.6742,67.84162,2013,2013
20,AAPL,2013-03-11,62.5528,68.80808,2013,2013
21,AAPL,2013-03-12,61.2042,67.32462,2013,2013
22,AAPL,2013-03-13,61.1928,67.31208,2013,2013
23,AAPL,2013-03-14,61.7857,67.96427,2013,2013
24,AAPL,2013-03-15,63.3799,69.71789,2013,2013
25,AAPL,2013-03-18,65.1028,71.61308,2013,2013
26,AAPL,2013-03-19,64.9271,71.41981,2013,2013
27,AAPL,2013-03-20,64.5828,71.04108000000001,2013,2013
28,AAPL,2013-03-21,64.6756,71.14316000000001,2013,2013
29,AAPL,2013-03-22,65.9871,72.58581,2013,2013
30,AAPL,2013-03-25,66.2256,72.84816000000001,2013,2013
31,AAPL,2013-03-26,65.8765,72.46414999999999,2013,2013
32,AAPL,2013-03-27,64.5828,71.04108000000001,2013,2013
33,AAPL,2013-03-28,63.2371,69.56081,2013,2013
34,AAPL,2013-04-01,61.2728,67.40008,2013,2013
35,AAPL,2013-04-02,61.3988,67.53868,2013,2013
36,AAPL,2013-04-03,61.7128,67.88408,2013,2013
37,AAPL,2013-04-04,61.1028,67.21308,2013,2013
38,AAPL,2013-04-05,60.4571,66.50281,2013,2013
39,AAPL,2013-04-08,60.8871,66.97581,2013,2013
40,AAPL,2013-04-09,60.9971,67.09681,2013,2013
41,AAPL,2013-04-10,62.2414,68.46554,2013,2013
42,AAPL,2013-04-11,62.0471,68.25181,2013,2013
43,AAPL,2013-04-12,61.3999,67.53989,2013,2013
44,AAPL,2013-04-15,59.9785,65.97635,2013,2013
45,AAPL,2013-04-16,60.8914,66.98053999999999,2013,2013
46,AAPL,2013-04-17,57.5428,63.29708,2013,2013
47,AAPL,2013-04-18,56.0071,61.60781,2013,2013
48,AAPL,2013-04-19,55.7899,61.36889000000001,2013,2013
49,AAPL,2013-04-22,56.9528,62.64808000000001,2013,2013
50,AAPL,2013-04-23,58.0185,63.820350000000005,2013,2013
51,AAPL,2013-04-24,57.9231,63.71541,2013,2013
52,AAPL,2013-04-25,58.3399,64.17389,2013,2013
53,AAPL,2013-04-26,59.6007,65.56077,2013,2013
54,AAPL,2013-04-29,61.4457,67.59027,2013,2013
55,AAPL,2013-04-30,63.2542,69.57961999999999,2013,2013
56,AAPL,2013-05-01,62.7557,69.03126999999999,2013,2013
57,AAPL,2013-05-02,63.6457,70.01026999999999,2013,2013
58,AAPL,2013-05-03,64.2828,70.71108,2013,2013
59,AAPL,2013-05-06,65.8156,72.39716,2013,2013
60,AAPL,2013-05-07,65.5225,72.07475,2013,2013
61,AAPL,2013-05-08,66.2628,72.88907999999999,2013,2013
62,AAPL,2013-05-09,65.2528,71.77807999999999,2013,2013
63,AAPL,2013-05-10,64.7099,71.18089,2013,2013
64,AAPL,2013-05-13,64.9628,71.45908,2013,2013
65,AAPL,2013-05-14,63.4085,69.74934999999999,2013,2013
66,AAPL,2013-05-15,61.2642,67.39062,2013,2013
67,AAPL,2013-05-16,62.0825,68.29075,2013,2013
68,AAPL,2013-05-17,61.8942,68.08362,2013,2013
69,AAPL,2013-05-20,63.2757,69.60327,2013,2013
70,AAPL,2013-05-21,62.8085,69.08935,2013,2013
71,AAPL,2013-05-22,63.0505,69.35555,2013,2013
72,AAPL,2013-05-23,63.1628,69.47908,2013,2013
73,AAPL,2013-05-24,63.5928,69.95208,2013,2013
74,AAPL,2013-05-28,63.0627,69.36897,2013,2013
75,AAPL,2013-05-29,63.5642,69.92062,2013,2013
76,AAPL,2013-05-30,64.5114,70.96253999999999,2013,2013
77,AAPL,2013-05-31,64.2478,70.67258,2013,2013
78,AAPL,2013-06-03,64.3885,70.82735,2013,2013
79,AAPL,2013-06-04,64.1871,70.60581,2013,2013
80,AAPL,2013-06-05,63.5871,69.94581,2013,2013
81,AAPL,2013-06-06,62.6371,68.90080999999999,2013,2013
82,AAPL,2013-06-07,63.1158,69.42738,2013,2013
83,AAPL,2013-06-10,62.6985,68.96835,2013,2013
84,AAPL,2013-06-11,62.5142,68.76562,2013,2013
85,AAPL,2013-06-12,61.7414,67.91554,2013,2013
86,AAPL,2013-06-13,62.2807,68.50877,2013,2013
87,AAPL,2013-06-14,61.4357,67.57927,2013,2013
88,AAPL,2013-06-17,61.7142,67.88562,2013,2013
89,AAPL,2013-06-18,61.6814,67.84953999999999,2013,2013
90,AAPL,2013-06-19,60.4285,66.47135,2013,2013
91,AAPL,2013-06-20,59.5482,65.50302,2013,2013
92,AAPL,2013-06-21,59.0714,64.97854,2013,2013
93,AAPL,2013-06-24,57.5057,63.25627,2013,2013
94,AAPL,2013-06-25,57.5185,63.27035000000001,2013,2013
95,AAPL,2013-06-26,56.8671,62.55381,2013,2013
96,AAPL,2013-06-27,56.2542,61.879619999999996,2013,2013
97,AAPL,2013-06-28,56.6471,62.31181,2013,2013
98,AAPL,2013-07-01,58.4599,64.30589,2013,2013
99,AAPL,2013-07-02,59.7842,65.76262,2013,2013
100,AAPL,2013-07-03,60.1142,66.12562,2013,2013
101,AAPL,2013-07-05,59.6314,65.59454,2013,2013
102,AAPL,2013-07-08,59.2928,65.22208,2013,2013
103,AAPL,2013-07-09,60.3357,66.36927,2013,2013
104,AAPL,2013-07-10,60.1042,66.11462,2013,2013
105,AAPL,2013-07-11,61.0411,67.14521,2013,2013
106,AAPL,2013-07-12,60.9299,67.02289,2013,2013
107,AAPL,2013-07-15,61.0628,67.16908000000001,2013,2013
108,AAPL,2013-07-16,61.4564,67.60204,2013,2013
109,AAPL,2013-07-17,61.4728,67.62008,2013,2013
110,AAPL,2013-07-18,61.6797,67.84767,2013,2013
111,AAPL,2013-07-19,60.7071,66.77781,2013,2013
112,AAPL,2013-07-22,60.9014,66.99154,2013,2013
113,AAPL,2013-07-23,59.8557,65.84127,2013,2013
114,AAPL,2013-07-24,62.9299,69.22289,2013,2013
115,AAPL,2013-07-25,62.6428,68.90708000000001,2013,2013
116,AAPL,2013-07-26,62.9985,69.29835,2013,2013
117,AAPL,2013-07-29,63.9699,70.36689,2013,2013
118,AAPL,2013-07-30,64.7599,71.23589,2013,2013
119,AAPL,2013-07-31,64.6471,71.11180999999999,2013,2013
120,AAPL,2013-08-01,65.2394,71.76334,2013,2013
121,AAPL,2013-08-02,66.0771,72.68481,2013,2013
122,AAPL,2013-08-05,67.0642,73.77062,2013,2013
123,AAPL,2013-08-06,66.4642,73.11062000000001,2013,2013
124,AAPL,2013-08-07,66.4256,73.06816,2013,2013
125,AAPL,2013-08-08,65.8585,72.44435000000001,2013,2013
126,AAPL,2013-08-09,64.9214,71.41354000000001,2013,2013
127,AAPL,2013-08-12,66.7656,73.44216,2013,2013
128,AAPL,2013-08-13,69.9385,76.93235,2013,2013
129,AAPL,2013-08-14,71.2142,78.33562,2013,2013
130,AAPL,2013-08-15,71.1299,78.24289,2013,2013
131,AAPL,2013-08-16,71.7614,78.93754,2013,2013
132,AAPL,2013-08-19,72.5342,79.78762,2013,2013
133,AAPL,2013-08-20,71.5814,78.73954,2013,2013
134,AAPL,2013-08-21,71.7656,78.94216,2013,2013
135,AAPL,2013-08-22,71.8514,79.03654,2013,2013
136,AAPL,2013-08-23,71.5742,78.73162,2013,2013
137,AAPL,2013-08-26,71.8528,79.03808000000001,2013,2013
138,AAPL,2013-08-27,69.7985,76.77835,2013,2013
139,AAPL,2013-08-28,70.1279,77.14068999999999,2013,2013
140,AAPL,2013-08-29,70.2428,77.26708,2013,2013
141,AAPL,2013-08-30,69.6022,76.56242,2013,2013
142,AAPL,2013-09-03,69.7971,76.77681,2013,2013
143,AAPL,2013-09-04,71.2415,78.36565,2013,2013
144,AAPL,2013-09-05,70.7528,77.82808,2013,2013
145,AAPL,2013-09-06,71.1742,78.29162,2013,2013
146,AAPL,2013-09-09,72.3099,79.54089,2013,2013
147,AAPL,2013-09-10,70.6628,77.72908000000001,2013,2013
148,AAPL,2013-09-11,66.8156,73.49716000000001,2013,2013
149,AAPL,2013-09-12,67.5271,74.27981,2013,2013
150,AAPL,2013-09-13,66.4142,73.05561999999999,2013,2013
151,AAPL,2013-09-16,64.3028,70.73308,2013,2013
152,AAPL,2013-09-17,65.0456,71.55015999999999,2013,2013
153,AAPL,2013-09-18,66.3828,73.02108,2013,2013
154,AAPL,2013-09-19,67.4714,74.21854,2013,2013
155,AAPL,2013-09-20,66.7728,73.45008,2013,2013
156,AAPL,2013-09-23,70.0914,77.10054,2013,2013
157,AAPL,2013-09-24,69.8714,76.85853999999999,2013,2013
158,AAPL,2013-09-25,68.7899,75.66889,2013,2013
159,AAPL,2013-09-26,69.4599,76.40589,2013,2013
160,AAPL,2013-09-27,68.9642,75.86062000000001,2013,2013
161,AAPL,2013-09-30,68.1071,74.91781,2013,2013
162,AAPL,2013-10-01,69.7085,76.67935,2013,2013
163,AAPL,2013-10-02,69.9371,76.93081000000001,2013,2013
